n,subjectCN_count,count
934749081093064729716066461637410631509687261541167007125402013402828951458149761289049176745152955549009990553861185719073451611431335818666947620027627656004068138671689837680832698503387152827328888251377911060255329196144220010967111652163383636807116140533460058091347246587949863119200802380749432656472355685088074484824277034753140589210926940626873852487350650555066753052637373426143367442456146398827182732530097010739348499695298300972687902277735133714031337769520430604792391959638029926971537594892133144499310070875889475209826196925852252682882259393318864702334128988104082230677875948533712145130006938729127598463107252950803261679478865644216375149719057533031995455793590708129679128948133484272720927087486891368014364488047092675845652708233267490191763297981680449111054151889423682832180389256801826258167346851429465240075572145805374567006229190725034318457968844585014292267233465487244614482754147504214233736565527349231383913969644729069863342929744951886935734051940463024491854409493373819617589472782904733039229299383457423943056639607921017926898830001548923844607395539172797226314573473034745771826769799854365611454928353912400266494933528038954458266989050652081074705678871699903413888314103,4,4
18963402247024910409205242111890677093406205636448603537199998681912658532510229392038379268646475679986055730184126267929762879872992494754142931220619481893025090558736860990667425031162894549920775991632945792840944315065639213806815128515795777589805451536386990559601421475622275344789091288714601058595196605043835914638994009514980674193335365804826852936441121715329139360640340862839934747807415579737891888426901691231520483657099282833552331528532900191924571633103447138288279628464329053795631309889658045619122271492491924998710177278781672750875448248761140034622358653153292806658530496732119290758341,4,4
740317760437573458486257994561718315691254116926507804570793565075212220952513923213421728860766242299544555417569019766758985998628567097682898041382727521624602598465904474018830707026262668652291892387412349245962724217392915509543096937966311700430874751849182934611339841600873169380274115371093398506543842416066963150029740955753284628003323590866086880958949757599858626475029390167621129889745987795820453854085848026099062384224480917689352520414968539973956044994807704588682980498413084879652334491519175793510530321585573362838490948504506920566752001224733433081688717551130228675812357268112642854062458005545333873549091397536298347448988649147385409838453514341815921111421686390507719385047071230626628688829503991602403875685171555946891465758110568035059188858950380597550233718103466430150063093366972771290930159074467460810325611792092769242427886507788630227994661670077979328768616559739438864127931427120310888945254791574858275593061425524234716714564288913349549019826982940793191152294027511516960498509664326111094672910162815090719015900133688970021191960660353009849623022037369999446615039746389415623471133010841971853570362855262857687791707926943647926175531067992691203520386215213920450424001789,3,3
896188170351886731905123110855701436156625941989346231377052828239921353453530369908022630145035551330381019921480339785616175435060882004729420109884156398704449430339062547139180162604665887763458893699448245453312237856403038093423302554876787743854471404228985652794204729547272713750116771047938167861084989990370354392158344450979063633234998909951467075791303787020286409319724147089477812305718081851538951732830651304405901889439912807587200118987920576220889074597852332374247183697639774223528441175832062829604370030410221628705550735900499200380989573057994219068302581258249077036359570547491216590205894682068513737041935463888986700910407786345913524932121398151799902693623697233115082012761504684351421717242352799131344959454301594648994962807182705904107036809063555659600056257961557174333447548276348412681895198566683620781171491627041007275004682389191094228177190694316905569503710050962159513544027343131592431863533695623187262416832371111715890601859745172505223495272121256351485101334343316642194351250191938171873963868877126133060089174298659023489160524994187717841045776689842834868590229217013535782020169556735273624865091500716330810061025051739641108341812832285875440096168495553950178237593811,3,3
22433482804235389991372466963032475268422776637501221706805808108443276405408086437007123520790351795026189291767800519952191080351077113062946575016952581007871834121250379986628030630601404241394487980401038766242137969403421884610258149199476502122119391511766373396475652704821989943909217521435231363471416277095685826482988715268061549264213687752663693291406993137602363932318579986407878519464750335084686306942068133317589642996889718218919880973140952023382351499833769059461446082139745390977799394744787732344562886686192277935009501418437943815561782055176733895829969045224011228570384774865594454295787,3,3
26525933580473082111902249977497198299994490395761839978378162005556210476922102498228393338084215176214197038894889124325278730686380955455712746447605380648917731815551589204020578061323224350018416055347721947400544776263522574153747128000271249321641389996925660781157998197386549805823258347667957672573970034102118826753107869834487674216475479004984314527749613089221470795786318433709790651477915732855492285840438387760600312452607599772433687779429213040087417300203697244164894481552935821991050859377758894995681469085389619826728311635349456383635012773065020430746666490592639036774769513815608292523649,3,3
23620738159571853986286732914138491735431871198538423319051683784503606772348211357428670087871910574518415301966176675508952002147693178580624997684601455787502671417913774673557502969156945502014821192027419366341288310356595449236250384388298187781145924751251794700694767295209712852597051932278964805494008957601651530311788209604808469718353921778080364461801165210052712507948585850552465973970510490549266894922567425882389669686414753056620713639782772339176016719238293439347600855827658397740684737145789764634851224296221839457792819887671410545887073066590750091566555418366591856633830069757595741822437,3,3
27202583511420519951950085262895827861534996306201756241542694481550206168982191717072382796423371697142788772782075621121151884448227350956561142848768776354137355516012820149899487657929108804223623451739741593684830212616555887880876115220575979320858012433876304284370968749632014987197141103331982001917240988248550582003108700709378032269238703436508630478016984933137985098383452217540753453238620773234262979334402521338084327724105008413538119760855334909366259561587868379508629674148176482578673064774361850500333016085787902660174390517929288272619474704906340613552027328747648611972434553981406097791961,3,3
23705039862349240631665425698320418631251557023328283764750093685628403856664330362216254335188411756728301134059971360240741947988710287479017822435571931345585471766017643606846738997965358889783950905197940592518258897238365631994180472738968557894310194726708552649468383781487178230736375696574416002301723705415508280951713288792089965935935003679826008836842398509465376905141648904263223615641315701963735439907592050671465027880885242501146052492448911889259033774071232112506681937634408735229688736002642225006140015271702400379922479206252353065741586747229931348395996306843620392454947910818206640260561,3,3
27267350355558325408388703123867134558421875180515079237716959432051523650887638078187501848622176424493885724841894303252820503595576049721426644096919930637306978594597706750034988636837529219924929453923065118264402877879436580232625277796363501864288752480614172277787493377487856863158829057033609251374479806828583634825372179277942671820913669400261308101193910919782235622579663753915151496574400046246868951897255861911653320711099889509569490909820270601344442444531169152006935177825353748365553759051975166777041080831675856809777858356097384560713349775383406995956581745562673235351174144088722393332111,3,3
